!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol),!sigma[dG0] (kJ/mol),!pH,!I (mM),!T (Kelvin),!Note
R00234,,,5.0,0.1,298.15,uncertainty is too high
R00235,-6.3,0.8,5.0,0.1,298.15,
R00236,,,5.0,0.1,298.15,uncertainty is too high
R00237,7.4,30.2,5.0,0.1,298.15,
R00238,25.8,1.7,5.0,0.1,298.15,
R00239,20.1,4.5,5.0,0.1,298.15,
R00241,20.4,4.5,5.0,0.1,298.15,
R00243,50.0,0.6,5.0,0.1,298.15,
R00245,-20.6,4.0,5.0,0.1,298.15,
R00248,51.4,0.7,5.0,0.1,298.15,
R00250,-95.3,8.3,5.0,0.1,298.15,
R00251,-1.6,6.2,5.0,0.1,298.15,
R00253,-12.5,1.6,5.0,0.1,298.15,
R00254,77.8,9.5,5.0,0.1,298.15,
R00256,-11.6,1.7,5.0,0.1,298.15,
R00257,-20.0,25.3,5.0,0.1,298.15,
R00258,-0.4,1.1,5.0,0.1,298.15,
R00259,-20.0,6.5,5.0,0.1,298.15,
R00260,0.6,4.3,5.0,0.1,298.15,
R00261,-36.9,6.9,5.0,0.1,298.15,
R00262,-6.0,4.7,5.0,0.1,298.15,
R00263,,,5.0,0.1,298.15,uncertainty is too high
R00264,-11.6,4.0,5.0,0.1,298.15,
R00265,-23.2,7.7,5.0,0.1,298.15,
R00267,8.4,6.3,5.0,0.1,298.15,
R00268,-26.5,7.8,5.0,0.1,298.15,
R00269,0.3,4.7,5.0,0.1,298.15,
R00270,41.2,6.4,5.0,0.1,298.15,
R00271,-18.4,5.4,5.0,0.1,298.15,
R00272,-30.4,6.7,5.0,0.1,298.15,
R00273,-187.7,15.4,5.0,0.1,298.15,
R00274,-307.7,6.6,5.0,0.1,298.15,
R00275,,,5.0,0.1,298.15,uncertainty is too high
R00276,177.8,11.7,5.0,0.1,298.15,
R00277,-95.4,17.0,5.0,0.1,298.15,
R00278,-107.1,16.8,5.0,0.1,298.15,
R00279,-95.9,9.3,5.0,0.1,298.15,
R00280,,,5.0,0.1,298.15,uncertainty is too high
R00281,,,5.0,0.1,298.15,uncertainty is too high
R00282,,,5.0,0.1,298.15,uncertainty is too high
R00283,,,5.0,0.1,298.15,uncertainty is too high
R00284,,,5.0,0.1,298.15,uncertainty is too high
R00286,22.9,4.3,5.0,0.1,298.15,
R00287,-16.4,7.5,5.0,0.1,298.15,
R00289,-5.4,1.1,5.0,0.1,298.15,
R00291,2.9,1.6,5.0,0.1,298.15,
R00292,364.2,3.0,5.0,0.1,298.15,
R00293,-56.1,4.9,5.0,0.1,298.15,
R00294,,,5.0,0.1,298.15,uncertainty is too high
R00295,,,5.0,0.1,298.15,uncertainty is too high
R00296,,,5.0,0.1,298.15,uncertainty is too high
R00297,,,5.0,0.1,298.15,uncertainty is too high
R00298,,,5.0,0.1,298.15,uncertainty is too high
R00299,-11.8,0.9,5.0,0.1,298.15,
R00300,8.4,2.2,5.0,0.1,298.15,
R00301,7.7,4.1,5.0,0.1,298.15,
R00302,-126.4,8.9,5.0,0.1,298.15,
R00303,-12.3,0.9,5.0,0.1,298.15,
R00304,-19.9,1.6,5.0,0.1,298.15,
R00305,,,5.0,0.1,298.15,uncertainty is too high
R00306,-12.9,3.7,5.0,0.1,298.15,
R00307,-0.1,0.6,5.0,0.1,298.15,
R00308,-386.2,1.6,5.0,0.1,298.15,
R00310,,,5.0,0.1,298.15,uncertainty is too high
R00311,,,5.0,0.1,298.15,uncertainty is too high
R00312,,,5.0,0.1,298.15,uncertainty is too high
R00313,,,5.0,0.1,298.15,uncertainty is too high
R00314,,,5.0,0.1,298.15,uncertainty is too high
R00315,7.8,1.1,5.0,0.1,298.15,
R00316,,,5.0,0.1,298.15,uncertainty is too high
R00317,-31.9,1.3,5.0,0.1,298.15,
R00318,-79.6,13.8,5.0,0.1,298.15,
R00319,-498.1,8.8,5.0,0.1,298.15,
R00320,17.1,1.3,5.0,0.1,298.15,
R00321,-23.2,4.7,5.0,0.1,298.15,
R00322,,,5.0,0.1,298.15,uncertainty is too high
R00324,-46.4,4.2,5.0,0.1,298.15,
R00325,3.1,2.3,5.0,0.1,298.15,
R00326,,,5.0,0.1,298.15,uncertainty is too high
R00327,-17.5,4.6,5.0,0.1,298.15,
R00328,-16.9,2.4,5.0,0.1,298.15,
R00329,,,5.0,0.1,298.15,uncertainty is too high
R00330,-1.4,2.6,5.0,0.1,298.15,
R00331,,,5.0,0.1,298.15,uncertainty is too high
R00332,-7.2,2.4,5.0,0.1,298.15,
R00333,,,5.0,0.1,298.15,uncertainty is too high
R00334,,,5.0,0.1,298.15,uncertainty is too high
R00335,-22.7,2.7,5.0,0.1,298.15,
R00336,,,5.0,0.1,298.15,uncertainty is too high
R00337,-24.5,6.6,5.0,0.1,298.15,
R00338,-40.2,6.7,5.0,0.1,298.15,
R00339,-34.9,3.9,5.0,0.1,298.15,
R00340,-34.9,3.9,5.0,0.1,298.15,
R00341,6.3,6.2,5.0,0.1,298.15,
R00342,43.1,0.6,5.0,0.1,298.15,
R00343,44.5,0.9,5.0,0.1,298.15,
R00344,3.0,1.4,5.0,0.1,298.15,
R00345,30.4,6.2,5.0,0.1,298.15,
R00346,15.6,6.2,5.0,0.1,298.15,
R00347,-26.6,4.3,5.0,0.1,298.15,
R00348,-6.9,5.0,5.0,0.1,298.15,
R00350,19.3,5.4,5.0,0.1,298.15,
R00351,25.0,0.9,5.0,0.1,298.15,
R00352,0.9,0.9,5.0,0.1,298.15,
R00353,-2.2,2.9,5.0,0.1,298.15,
R00354,12.7,29.9,5.0,0.1,298.15,
R00355,4.1,1.1,5.0,0.1,298.15,
R00357,-91.2,8.3,5.0,0.1,298.15,
R00359,-96.1,9.1,5.0,0.1,298.15,
R00360,-102.1,8.3,5.0,0.1,298.15,
R00361,,,5.0,0.1,298.15,uncertainty is too high
R00362,5.4,0.9,5.0,0.1,298.15,
R00363,5.7,5.8,5.0,0.1,298.15,
R00364,,,5.0,0.1,298.15,uncertainty is too high
R00365,57.8,3.2,5.0,0.1,298.15,
R00366,-87.4,8.8,5.0,0.1,298.15,
R00367,,,5.0,0.1,298.15,uncertainty is too high
R00368,43.7,7.8,5.0,0.1,298.15,
R00369,-8.3,3.3,5.0,0.1,298.15,
R00371,39.4,4.1,5.0,0.1,298.15,
R00372,7.8,3.2,5.0,0.1,298.15,
R00373,3.8,3.2,5.0,0.1,298.15,
R00374,,,5.0,0.1,298.15,uncertainty is too high
R00375,315.7,7.3,5.0,0.1,298.15,
R00376,,,5.0,0.1,298.15,uncertainty is too high
R00377,642.2,9.9,5.0,0.1,298.15,
R00378,827.4,10.3,5.0,0.1,298.15,
R00380,,,5.0,0.1,298.15,uncertainty is too high
R00383,,,5.0,0.1,298.15,uncertainty is too high
R00384,,,5.0,0.1,298.15,uncertainty is too high
R00385,,,5.0,0.1,298.15,uncertainty is too high
R00387,,,5.0,0.1,298.15,uncertainty is too high
R00388,,,5.0,0.1,298.15,uncertainty is too high
R00389,,,5.0,0.1,298.15,uncertainty is too high
R00390,,,5.0,0.1,298.15,uncertainty is too high
R00391,,,5.0,0.1,298.15,uncertainty is too high
R00392,,,5.0,0.1,298.15,uncertainty is too high
R00393,,,5.0,0.1,298.15,uncertainty is too high
R00394,,,5.0,0.1,298.15,uncertainty is too high
R00395,,,5.0,0.1,298.15,uncertainty is too high
R00396,49.6,1.1,5.0,0.1,298.15,
R00397,-24.2,6.3,5.0,0.1,298.15,
R00398,46.7,5.8,5.0,0.1,298.15,
R00399,34.2,7.2,5.0,0.1,298.15,
R00400,-4.5,1.4,5.0,0.1,298.15,
R00401,-0.0,2.0,5.0,0.1,298.15,
R00402,77.3,4.1,5.0,0.1,298.15,
R00405,-6.2,2.6,5.0,0.1,298.15,
R00406,-6.2,7.4,5.0,0.1,298.15,
R00407,-17.9,2.7,5.0,0.1,298.15,
R00408,37.0,7.1,5.0,0.1,298.15,
R00409,8.3,5.9,5.0,0.1,298.15,
R00410,7.4,1.3,5.0,0.1,298.15,
R00411,-3.3,7.0,5.0,0.1,298.15,
R00412,,,5.0,0.1,298.15,uncertainty is too high
R00414,-22.4,6.6,5.0,0.1,298.15,
R00416,-8.3,10.6,5.0,0.1,298.15,
R00417,,,5.0,0.1,298.15,uncertainty is too high
R00418,0.0,5.3,5.0,0.1,298.15,
R00420,0.0,5.3,5.0,0.1,298.15,
R00421,19.6,5.9,5.0,0.1,298.15,
R00422,,,5.0,0.1,298.15,uncertainty is too high
R00423,,,5.0,0.1,298.15,uncertainty is too high
R00424,-74.2,14.3,5.0,0.1,298.15,
R00425,-40.1,11.2,5.0,0.1,298.15,
R00426,-24.7,3.7,5.0,0.1,298.15,
R00428,16.8,5.8,5.0,0.1,298.15,
R00429,21.5,15.9,5.0,0.1,298.15,
R00430,36.5,2.8,5.0,0.1,298.15,
R00431,7.7,6.7,5.0,0.1,298.15,
R00432,-4.8,0.9,5.0,0.1,298.15,
R00434,7.0,5.9,5.0,0.1,298.15,
R00435,485.4,2.8,5.0,0.1,298.15,
R00436,,,5.0,0.1,298.15,uncertainty is too high
R00437,-494.7,2.7,5.0,0.1,298.15,
R00438,-1068.9,9.1,5.0,0.1,298.15,
R00439,,,5.0,0.1,298.15,uncertainty is too high
R00440,-826.4,8.6,5.0,0.1,298.15,
R00441,,,5.0,0.1,298.15,uncertainty is too high
R00442,817.0,9.3,5.0,0.1,298.15,
R00443,1061.3,9.1,5.0,0.1,298.15,
R00444,,,5.0,0.1,298.15,uncertainty is too high
R00445,30.5,18.6,5.0,0.1,298.15,
R00446,47.9,4.4,5.0,0.1,298.15,
R00447,-104.7,9.2,5.0,0.1,298.15,
R00448,,,5.0,0.1,298.15,uncertainty is too high
R00449,-469.6,9.6,5.0,0.1,298.15,
R00451,-28.8,7.3,5.0,0.1,298.15,
R00452,51.6,12.8,5.0,0.1,298.15,
R00453,-1.6,4.4,5.0,0.1,298.15,
R00454,-24.8,4.2,5.0,0.1,298.15,
R00457,-2.0,4.4,5.0,0.1,298.15,
R00458,5.2,10.3,5.0,0.1,298.15,
R00459,-36.7,18.5,5.0,0.1,298.15,
R00460,0.0,5.8,5.0,0.1,298.15,
R00461,-5.2,4.1,5.0,0.1,298.15,
R00462,-36.7,6.9,5.0,0.1,298.15,
R00463,21.2,12.1,5.0,0.1,298.15,
R00465,57.9,1.8,5.0,0.1,298.15,
R00466,-145.6,10.6,5.0,0.1,298.15,
R00468,7.2,2.6,5.0,0.1,298.15,
R00469,-41.5,9.6,5.0,0.1,298.15,
R00470,17.8,3.0,5.0,0.1,298.15,
R00471,15.4,4.4,5.0,0.1,298.15,
R00472,22.9,4.1,5.0,0.1,298.15,
R00473,11.2,5.8,5.0,0.1,298.15,
R00474,39.4,7.7,5.0,0.1,298.15,
R00475,-88.8,8.4,5.0,0.1,298.15,
R00476,,,5.0,0.1,298.15,uncertainty is too high
R00477,21.5,10.3,5.0,0.1,298.15,
R00478,1.5,5.4,5.0,0.1,298.15,
R00479,7.3,2.7,5.0,0.1,298.15,
R00480,13.5,5.8,5.0,0.1,298.15,
R00481,-68.0,9.4,5.0,0.1,298.15,
R00482,-6.4,7.0,5.0,0.1,298.15,
R00483,-8.2,7.1,5.0,0.1,298.15,
R00484,-54.2,9.8,5.0,0.1,298.15,
R00485,-17.7,7.0,5.0,0.1,298.15,
R00486,,,5.0,0.1,298.15,uncertainty is too high
R00487,-10.6,4.7,5.0,0.1,298.15,
R00488,-9.0,4.8,5.0,0.1,298.15,
R00489,-31.3,11.8,5.0,0.1,298.15,
R00490,15.1,0.9,5.0,0.1,298.15,
R00491,4.9,3.9,5.0,0.1,298.15,
R00493,,,5.0,0.1,298.15,uncertainty is too high
R00494,0.1,5.2,5.0,0.1,298.15,
R00497,-23.1,15.8,5.0,0.1,298.15,
R00499,-21.8,18.9,5.0,0.1,298.15,
R00501,18.8,5.0,5.0,0.1,298.15,
R00502,-8.3,3.6,5.0,0.1,298.15,
R00503,-7.1,4.4,5.0,0.1,298.15,
R00504,,,5.0,0.1,298.15,uncertainty is too high
R00505,4.6,3.6,5.0,0.1,298.15,
R00506,361.2,3.4,5.0,0.1,298.15,
R00507,-64.6,14.1,5.0,0.1,298.15,
R00508,-19.4,11.5,5.0,0.1,298.15,
R00509,-4.7,11.5,5.0,0.1,298.15,
R00510,-7.8,5.9,5.0,0.1,298.15,
R00511,-19.1,5.4,5.0,0.1,298.15,
R00512,-7.7,5.8,5.0,0.1,298.15,
R00513,-5.0,5.5,5.0,0.1,298.15,
R00514,-16.4,5.8,5.0,0.1,298.15,
R00515,-25.8,4.6,5.0,0.1,298.15,
R00516,-3.3,6.0,5.0,0.1,298.15,
R00517,-3.6,6.0,5.0,0.1,298.15,
R00518,-16.9,11.5,5.0,0.1,298.15,
R00519,-13.4,6.5,5.0,0.1,298.15,
R00521,-0.1,11.5,5.0,0.1,298.15,
R00522,-29.0,8.6,5.0,0.1,298.15,
R00524,-31.9,12.2,5.0,0.1,298.15,
R00525,-33.2,11.0,5.0,0.1,298.15,
R00526,-31.5,11.2,5.0,0.1,298.15,
R00527,-0.9,20.4,5.0,0.1,298.15,
R00528,,,5.0,0.1,298.15,uncertainty is too high
R00529,38.3,2.3,5.0,0.1,298.15,
R00530,47.6,2.3,5.0,0.1,298.15,
R00531,-64.2,2.5,5.0,0.1,298.15,
R00532,,,5.0,0.1,298.15,uncertainty is too high
R00533,-162.6,11.0,5.0,0.1,298.15,
R00534,,,5.0,0.1,298.15,uncertainty is too high
R00535,,,5.0,0.1,298.15,uncertainty is too high
R00536,,,5.0,0.1,298.15,uncertainty is too high
R00537,,,5.0,0.1,298.15,uncertainty is too high
R00538,,,5.0,0.1,298.15,uncertainty is too high
R00539,,,5.0,0.1,298.15,uncertainty is too high
R00540,,,5.0,0.1,298.15,uncertainty is too high
R00542,,,5.0,0.1,298.15,uncertainty is too high
R00543,,,5.0,0.1,298.15,uncertainty is too high
R00544,,,5.0,0.1,298.15,uncertainty is too high
R00545,,,5.0,0.1,298.15,uncertainty is too high
R00546,,,5.0,0.1,298.15,uncertainty is too high
R00547,,,5.0,0.1,298.15,uncertainty is too high
R00548,-18.5,11.7,5.0,0.1,298.15,
R00549,-5.6,33.9,5.0,0.1,298.15,
R00550,-1.3,33.9,5.0,0.1,298.15,
R00551,-28.7,12.5,5.0,0.1,298.15,
R00552,-34.6,6.7,5.0,0.1,298.15,
R00554,16.5,1.1,5.0,0.1,298.15,
R00555,,,5.0,0.1,298.15,uncertainty is too high
R00557,-1274.9,30.0,5.0,0.1,298.15,
R00558,,,5.0,0.1,298.15,uncertainty is too high
R00559,-458.2,13.5,5.0,0.1,298.15,
R00562,44.3,5.8,5.0,0.1,298.15,
R00563,35.7,18.7,5.0,0.1,298.15,
R00565,-0.4,5.8,5.0,0.1,298.15,
R00566,-25.4,11.9,5.0,0.1,298.15,
R00567,8.4,10.1,5.0,0.1,298.15,
R00568,-30.5,4.8,5.0,0.1,298.15,
R00569,-24.2,4.6,5.0,0.1,298.15,
R00570,0.1,4.6,5.0,0.1,298.15,
R00571,6.4,4.8,5.0,0.1,298.15,
R00572,34.9,4.7,5.0,0.1,298.15,
R00573,-5.2,5.1,5.0,0.1,298.15,
R00574,5.8,5.7,5.0,0.1,298.15,
R00575,12.8,5.2,5.0,0.1,298.15,
R00576,-11.5,4.4,5.0,0.1,298.15,
R00577,,,5.0,0.1,298.15,uncertainty is too high
R00578,-19.8,7.2,5.0,0.1,298.15,
R00579,7.6,6.4,5.0,0.1,298.15,
R00581,53.5,1.6,5.0,0.1,298.15,
R00582,-12.4,0.5,5.0,0.1,298.15,
R00584,-2.4,0.7,5.0,0.1,298.15,
R00585,4.0,1.5,5.0,0.1,298.15,
R00586,-7.3,5.8,5.0,0.1,298.15,
R00588,-4.3,3.4,5.0,0.1,298.15,
R00589,-0.9,5.9,5.0,0.1,298.15,
R00590,-3.8,3.5,5.0,0.1,298.15,
R00594,,,5.0,0.1,298.15,uncertainty is too high
R00595,,,5.0,0.1,298.15,uncertainty is too high
R00596,,,5.0,0.1,298.15,uncertainty is too high
R00597,,,5.0,0.1,298.15,uncertainty is too high
R00598,,,5.0,0.1,298.15,uncertainty is too high
R00599,,,5.0,0.1,298.15,uncertainty is too high
R00600,,,5.0,0.1,298.15,uncertainty is too high
R00601,,,5.0,0.1,298.15,uncertainty is too high
R00602,-292.3,9.2,5.0,0.1,298.15,
R00603,,,5.0,0.1,298.15,uncertainty is too high
R00604,-20.0,3.9,5.0,0.1,298.15,
R00605,46.0,6.5,5.0,0.1,298.15,
R00606,,,5.0,0.1,298.15,uncertainty is too high
R00608,-99.2,10.4,5.0,0.1,298.15,
R00609,,,5.0,0.1,298.15,uncertainty is too high
R00610,-76.8,11.4,5.0,0.1,298.15,
R00611,,,5.0,0.1,298.15,uncertainty is too high
R00612,-69.1,15.5,5.0,0.1,298.15,
R00614,-66.0,8.4,5.0,0.1,298.15,
R00615,,,5.0,0.1,298.15,uncertainty is too high
R00616,,,5.0,0.1,298.15,uncertainty is too high
R00617,-5.3,3.5,5.0,0.1,298.15,
R00618,,,5.0,0.1,298.15,uncertainty is too high
R00619,,,5.0,0.1,298.15,uncertainty is too high
R00621,,,5.0,0.1,298.15,uncertainty is too high
R00623,,,5.0,0.1,298.15,uncertainty is too high
R00624,,,5.0,0.1,298.15,uncertainty is too high
R00625,,,5.0,0.1,298.15,uncertainty is too high
R00626,,,5.0,0.1,298.15,uncertainty is too high
R00627,,,5.0,0.1,298.15,uncertainty is too high
R00628,,,5.0,0.1,298.15,uncertainty is too high
